alias,notionName,domain
,Aberdeen,abdn.ac.uk
아들레이드,Adelaide,adelaideuni.edu.au
아들레이드,Adelaide,adelaide.edu.au
,UAL,arts.ac.uk
아스톤,Aston,aston.ac.uk
바스,Bath,bath.ac.uk
버벡,Birkbeck,bbk.ac.uk
,Birmingham City,bcu.ac.uk
베드포드셔,Bedfordshire,beds.ac.uk
버밍엄,Birmingham,birmingham.ac.uk
,Bournemouth,bournemouth.ac.uk
,BPP,bpp.com
,Bradford,bradford.ac.uk
,Brighton,brighton.ac.uk
브리스톨,Bristol,bristol.ac.uk
옥스포드브룩스,Oxford Brookes,brookes.ac.uk
브루넬,Brunel,brunel.ac.uk
,Boston,bu.edu
,Cambridge,cam.ac.uk
,Cardiff,cardiff.ac.uk
Cardiff Met ,Cardiff Metropolitan,cardiffmet.ac.uk
City,City St George,citystgeorges.ac.uk
,Le Cordon Bleu London,cordonbleu.edu
,Coventry,coventry.ac.uk
크랜필드,Cranfield,cranfield.ac.uk
드몽포트,De Montfort,dmu.ac.uk
,Dundee,dundee.ac.uk
,Durham,durham.ac.uk
에든버러,Edinburgh,ed.ac.uk
에딘버러,Edinburgh,ed.ac.uk
,Essex,essex.ac.uk
,Exeter,exeter.ac.uk
,Glasgow Caledonian,gcu.ac.uk
글래스고,Glasgow,gla.ac.uk
,Goldsmiths,gold.ac.uk
,Greenwich,gre.ac.uk
,Hertfordshire,herts.ac.uk
,Heriot-Watt,hw.ac.uk
,UIUC,illinois.edu
Imperial College London,Imperial,imperial.ac.uk
ICL,Imperial,imperial.ac.uk
,KCL,kcl.ac.uk
,Kent,kent.ac.uk
킹스턴,Kingston,kingston.ac.uk
,UClan,lancashire.ac.uk
랑카스터,Lancaster,lancaster.ac.uk
,La Trobe,latrobe.edu.au
러프버러,Loughborough,lboro.ac.uk
,Leicester,le.ac.uk
리즈,Leeds,leeds.ac.uk
,Leeds Becket,leedsbeckett.ac.uk
링컨,Lincoln,lincoln.ac.uk
리버풀,Liverpool,liverpool.ac.uk
리버풀존무어,Liverpool John Moores,ljmu.ac.uk
LJMU,Liverpool John Moores,ljmu.ac.uk
,LSE,lse.ac.uk
,LSHTM,lshtm.ac.uk
맨체스터,Manchester,manchester.ac.uk
,GMUK,masonkorea.gmu.edu
,Middlesex,mdx.ac.uk
,MMU,mmu.ac.uk
,Monash,monash.edu
,Newcastle,ncl.ac.uk
,Northampton,northampton.ac.uk
노썸브리아,Northumbria,northumbria.ac.uk
,Nottingham,nottingham.ac.uk
노팅엄트렌트,Nottingham Trent,ntu.ac.uk
NTU,Nottingham Trent,ntu.ac.uk
,Oxford,ox.ac.uk
포츠머스,Portsmouth,port.ac.uk
,Purdue,purdue.edu
,Queen Margaret,qmu.ac.uk
QMUL,Queen Mary,qmul.ac.uk
퀸메리,Queen Mary,qmul.ac.uk
,Queens Belfast,qub.ac.uk
,QUT,qut.edu.au
,RCA,rca.ac.uk
,Reading,reading.ac.uk
,RMIT,rmit.edu.au
,RHUL,royalholloway.ac.uk
,Rutgers,rutgers.edu
,Salford,salford.ac.uk
,Sheffield,sheffield.ac.uk
SOAS,SOAS,soas.ac.uk
사우스햄튼,Southampton,southampton.ac.uk
,St. Andrews,st-andrews.ac.uk
,St. Mary,stmarys.ac.uk
,SBU,stonybrook.edu
,Strathclyde,strath.ac.uk
,Sunderland,sunderland.ac.uk
,SUNY,suny.edu
,Surrey,surrey.ac.uk
서섹스,Sussex,sussex.ac.uk
,Swansea,swansea.ac.uk
,USYD,sydney.edu.au
,UCAS,ucas.com
,UCL,ucl.ac.uk
,Uconn,uconn.edu
,UEA,uea.ac.uk
,UNSW,unsw.edu.au
,UO,uoregon.edu
,UTS,uts.edu.au
,Amsterdam,uva.nl
,UWE Bristol,uwe.ac.uk
,UWL,uwl.ac.uk
,UWM,uwm.edu
,UW-Platteville,uwplatt.edu
,Victoria,vu.edu.au
워릭,Warwick,warwick.ac.uk
,UW,washington.edu
워릭,Warwick,wbs.ac.uk
,Westminster,westminster.ac.uk
요크,York,york.ac.uk
